"Historical Data"
"From 2023-11-29 to 2024-12-28"
US912810TV08
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
27/12/2024;100,64;100,64;98,86;99,50;99,41;340900;20;338888;'0.9941
24/12/2024;'0,00;'0,00;'0,00;'0,00;99,64;'0;'0;'0;
23/12/2024;101,61;101,61;99,60;99,65;99,64;125200;18;125078;99.902492
20/12/2024;101,62;101,62;99,77;100,68;100,41;176700;24;176697;99.998206
19/12/2024;101,01;101,01;99,67;100,02;99,79;334300;30;334844;100.162695
18/12/2024;102,28;102,28;102,25;102,25;102,06;22000;2;22496;102.252727
17/12/2024;101,78;102,37;101,70;102,28;102,40;884700;12;900813;101.821329
16/12/2024;103,92;103,92;101,78;101,78;102,05;351700;22;359590;102.243264
13/12/2024;102,84;102,84;102,34;102,34;102,34;148800;9;152556;102.524073
12/12/2024;103,84;103,84;103,66;103,66;103,51;35000;2;36335;103.814286
11/12/2024;104,99;104,99;104,99;104,99;104,49;15000;1;15749;104.99
10/12/2024;107,04;107,04;105,00;105,00;105,18;101000;2;106295;105.242376
'09/12/2024;106,26;106,26;106,25;106,25;105,84;46000;2;48879;106.258478
'06/12/2024;106,39;106,61;106,39;106,61;106,36;22000;2;23450;106.59
'05/12/2024;105,89;106,06;105,89;106,06;106,31;50000;2;52988;105.975
'04/12/2024;105,10;105,39;105,10;105,39;105,14;250000;3;262840;105.136
'03/12/2024;106,11;106,11;105,72;105,72;105,92;6000;2;6355;105.915
'02/12/2024;104,03;106,00;104,03;106,00;105,44;58700;7;61829;105.331312
29/11/2024;105,74;105,74;105,74;105,74;105,74;300000;1;317220;105.74
28/11/2024;105,31;105,31;105,31;105,31;105,31;22800;2;24011;105.31
27/11/2024;'0,00;'0,00;'0,00;'0,00;104,77;'0;'0;'0;
26/11/2024;104,30;104,30;104,30;104,30;103,86;21000;1;21903;104.3
25/11/2024;103,35;104,46;103,20;104,01;104,23;208500;8;216457;103.816245
22/11/2024;102,35;102,42;102,00;102,00;102,01;234000;7;239095;102.177137
21/11/2024;102,01;102,45;102,01;102,44;102,44;28800;5;29500;102.429236
20/11/2024;102,50;102,50;101,75;102,33;102,33;52800;5;53956;102.189091
19/11/2024;102,43;102,85;102,43;102,61;102,59;85100;8;87277;102.558026
18/11/2024;103,24;103,24;101,00;101,35;101,35;28500;8;29095;102.089368
15/11/2024;102,13;102,13;101,50;101,60;101,55;61100;9;62261;101.900933
14/11/2024;101,80;102,55;101,39;102,47;102,45;318800;11;324245;101.708049
13/11/2024;102,48;103,22;102,48;103,22;102,32;132300;5;135833;102.670491
12/11/2024;103,94;103,94;103,94;103,94;103,09;44000;1;45734;103.94
11/11/2024;106,38;106,38;104,16;104,16;103,81;23000;3;24179;105.125217
'08/11/2024;103,77;103,91;103,59;103,80;103,92;79600;9;82629;103.805201
'07/11/2024;102,14;103,06;101,79;102,67;102,66;104900;10;107235;102.225882
'06/11/2024;103,00;103,00;100,83;100,83;101,24;103000;18;104669;101.62032
'05/11/2024;105,68;105,68;103,78;103,78;103,82;45600;4;47397;103.941842
'04/11/2024;103,79;104,50;103,79;104,00;104,19;215800;7;224449;104.007692
'01/11/2024;104,68;104,74;102,76;102,76;103,11;17000;4;17609;103.580588
31/10/2024;104,01;104,21;103,88;103,88;103,88;105400;5;109640;104.0226
30/10/2024;104,53;104,53;104,53;104,53;104,57;1600;1;1672;104.53
29/10/2024;103,14;103,22;102,82;103,07;103,04;93600;11;96393;102.984038
28/10/2024;104,78;104,78;103,12;103,12;103,53;55000;9;57067;103.757709
25/10/2024;104,74;104,74;104,45;104,68;104,59;100000;6;104641;104.6411
24/10/2024;104,62;104,62;103,89;104,31;104,00;118900;9;123689;104.027796
23/10/2024;105,36;105,36;103,58;103,70;103,70;82000;9;85062;103.734537
22/10/2024;104,03;104,50;103,81;103,83;104,00;81900;9;85214;104.046886
21/10/2024;105,80;105,80;104,41;104,41;104,80;72300;11;76030;105.158575
18/10/2024;105,39;105,55;105,39;105,55;106,22;42000;5;44315;105.511905
17/10/2024;106,17;106,17;106,17;106,17;106,17;2000;1;2123;106.17
16/10/2024;107,50;107,80;107,50;107,60;107,87;176100;6;189656;107.697899
15/10/2024;106,04;106,98;106,04;106,98;106,98;6700;3;7151;106.73403
14/10/2024;106,02;106,02;105,51;105,79;105,79;304000;5;321601;105.789671
11/10/2024;108,04;108,04;105,75;105,75;105,75;39700;6;42079;105.992645
10/10/2024;104,99;106,62;104,99;105,85;105,95;171100;12;181626;106.151958
'09/10/2024;107,38;107,38;107,00;107,03;107,11;16200;3;17347;107.079074
'08/10/2024;109,12;109,12;107,01;107,01;107,07;8500;3;9144;107.575882
'07/10/2024;107,99;107,99;107,75;107,75;107,51;17000;4;18342;107.894118
'04/10/2024;109,46;109,46;109,46;109,46;109,72;30000;1;32838;109.46
'03/10/2024;110,00;110,08;110,00;110,08;110,08;57000;3;62722;110.037895
'02/10/2024;112,87;112,87;109,90;109,90;109,90;110200;5;121157;109.942958
'01/10/2024;111,61;112,00;111,58;111,58;111,83;29900;5;33423;111.783846
30/09/2024;110,54;110,96;110,52;110,96;110,96;35400;3;39184;110.689153
27/09/2024;'0,00;'0,00;'0,00;'0,00;110,83;'0;'0;'0;
26/09/2024;'0,00;'0,00;'0,00;'0,00;110,18;'0;'0;'0;
25/09/2024;110,50;110,50;110,50;110,50;110,47;10000;1;11050;110.5
24/09/2024;110,83;111,92;110,30;111,92;110,81;140600;5;155286;110.445505
23/09/2024;111,14;111,15;110,70;110,73;110,73;208000;6;230872;110.996346
20/09/2024;111,20;111,20;111,20;111,20;111,20;100;1;111;111.2
19/09/2024;112,55;112,57;111,25;111,31;111,48;190900;5;214824;112.532294
18/09/2024;113,28;113,28;112,71;112,81;112,76;39000;4;44169;113.253333
